variables,type,units,values,description
rotorse.ccblade.rthick,input,,"[1.         0.98202811 0.83422093 0.63368653 0.49837466 0.4410933
 0.40369869 0.38156768 0.36543958 0.35282655 0.34201519 0.33305383
 0.32527083 0.31794207 0.31034339 0.30175064 0.291356   0.27940307
 0.26721098 0.25611482 0.24721402 0.23860966 0.23008469 0.22230017
 0.21591718 0.21159678 0.21000003 0.21       0.21       0.21      ]",1D array of the relative thicknesses of the blade defined along span.
rotorse.precurve,input,m,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.96069335e-05
 -4.41888313e-03 -1.47437694e-02 -2.78568630e-02 -4.57535116e-02
 -6.71775652e-02 -9.31591116e-02 -1.23411088e-01 -1.58235516e-01
 -1.99036574e-01 -2.45757463e-01 -2.98408959e-01 -3.57814145e-01
 -4.24076326e-01 -4.98895254e-01 -5.81761222e-01 -6.75146021e-01
 -7.78279295e-01 -8.93706090e-01 -1.02166869e+00 -1.16547581e+00
 -1.32474427e+00 -1.50426524e+00 -1.70625884e+00 -1.93449304e+00
 -2.19383653e+00 -2.50000000e+00]",precurve at each section
rotorse.precurveTip,input,m,[-2.5],precurve at tip
rotorse.presweep,input,m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",presweep at each section
rotorse.presweepTip,input,m,[0.],presweep at tip
rotorse.hub_height,input,m,[110.],hub height
rotorse.precone,input,deg,[3.],precone angle
rotorse.tilt,input,deg,[4.99962972],shaft tilt
rotorse.yaw,input,deg,[0.],yaw error
rotorse.rho_air,input,kg/m**3,[1.225],density of air
rotorse.mu_air,input,kg/m/s,[1.81e-05],dynamic viscosity of air
rotorse.shearExp,input,,[0.2],shear exponent
rotorse.nBlades,input,Unavailable,3,number of blades
rotorse.nSector,output,Unavailable,4,number of sectors to divide rotor face into in computing thrust and power
rotorse.tiploss,output,Unavailable,True,include Prandtl tip loss model
rotorse.hubloss,output,Unavailable,True,include Prandtl hub loss model
rotorse.wakerotation,output,Unavailable,True,"include effect of wake rotation (i.e., tangential induction factor is nonzero)"
rotorse.usecd,output,Unavailable,True,use drag coefficient in computing induction factors
rotorse.wt_class.V_mean_overwrite,input,,[0.],
rotorse.wt_class.V_extreme50_overwrite,input,,[0.],
rotorse.wt_class.turbine_class,input,Unavailable,III,
rotorse.theta,output,deg,"[19.99622705 19.46091332 18.75942179 17.80810903 15.96199918 13.48919718
 11.38156354  9.6632482   7.93197959  6.36328787  4.93441291  3.76500228
  2.87835451  2.25977596  1.74262586  1.35466023  1.04517172  0.72369203
  0.3963271   0.16085449 -0.05518023 -0.25313484 -0.45319405 -0.70157744
 -0.98171636 -1.27321725 -1.65857049 -2.29786129 -3.331188   -4.64095814]",Twist angle at each section (positive decreases angle of attack)
rotorse.re.pitch_axis,input,,"[0.5        0.4805125  0.40967346 0.35077675 0.31038066 0.28320245
 0.26462878 0.25229681 0.24475743 0.24125724 0.24097363 0.24373741
 0.24949352 0.25783338 0.26800204 0.27871542 0.28894648 0.29826385
 0.30615885 0.31213058 0.31548724 0.31753162 0.31586754 0.3097253
 0.29970862 0.28806825 0.27765471 0.27050463 0.26661986 0.25      ]","1D array of the chordwise position of the pitch axis (0-LE, 1-TE), defined along blade span."
rotorse.re.coord_xy_interp,input,,"[[[ 1.00000000e+00  1.39471767e-15]
  [ 9.99492456e-01 -2.24148318e-02]
  [ 9.97998443e-01 -4.47793323e-02]
  ...
  [ 9.98052103e-01  4.41573285e-02]
  [ 9.99507691e-01  2.21028728e-02]
  [ 1.00000000e+00  1.39471767e-15]]

 [[ 1.00000000e+00 -3.16421773e-03]
  [ 9.99110945e-01 -2.47105921e-02]
  [ 9.97576994e-01 -4.67993845e-02]
  ...
  [ 9.97884994e-01  4.40785443e-02]
  [ 9.99371468e-01  2.18636293e-02]
  [ 1.00000000e+00 -1.46513661e-04]]

 [[ 1.00000000e+00 -1.94964271e-02]
  [ 9.96919760e-01 -3.64826078e-02]
  [ 9.94667087e-01 -5.60719522e-02]
  ...
  [ 9.96925214e-01  4.30168043e-02]
  [ 9.98589083e-01  2.09101531e-02]
  [ 1.00000000e+00 -1.10918874e-04]]

 ...

 [[ 1.00000000e+00 -1.24164223e-03]
  [ 9.76041164e-01  1.99488062e-03]
  [ 9.52121911e-01  4.75706135e-03]
  ...
  [ 9.53145851e-01  1.33087434e-02]
  [ 9.76587857e-01  7.46542749e-03]
  [ 1.00000000e+00  1.53836008e-03]]

 [[ 1.00000000e+00 -1.24164223e-03]
  [ 9.76041164e-01  1.99488062e-03]
  [ 9.52121911e-01  4.75706135e-03]
  ...
  [ 9.53145851e-01  1.33087434e-02]
  [ 9.76587857e-01  7.46542749e-03]
  [ 1.00000000e+00  1.53836008e-03]]

 [[ 1.00000000e+00 -1.24164223e-03]
  [ 9.76041164e-01  1.99488062e-03]
  [ 9.52121911e-01  4.75706135e-03]
  ...
  [ 9.53145851e-01  1.33087434e-02]
  [ 9.76587857e-01  7.46542749e-03]
  [ 1.00000000e+00  1.53836008e-03]]]",3D array of the non-dimensional x and y airfoil coordinates of the airfoils interpolated along span for n_span stations.
rotorse.re.precomp.uptilt,input,deg,[4.99962972],Nacelle uptilt angle. A standard machine has positive values.
rotorse.re.precomp.web_start_nd,input,,"[[0.19445041 0.20130844 0.2265798  0.29443028 0.32236939 0.33841748
  0.35046649 0.35848393 0.36788314 0.37368328 0.37648134 0.37821543
  0.37836435 0.37640734 0.37326706 0.37011846 0.36680881 0.36413453
  0.36168175 0.35890107 0.35727301 0.35606724 0.35601381 0.35840264
  0.36200779 0.36622096 0.37118645 0.37585834 0.35895191 0.36786986]
 [0.19445041 0.20130844 0.2265798  0.22014868 0.25239666 0.27119133
  0.28491374 0.29279574 0.30228526 0.30750775 0.30840526 0.30696831
  0.30287321 0.29557174 0.28596425 0.27542742 0.26417454 0.2534493
  0.2429885  0.23221659 0.22286363 0.21450911 0.20830707 0.20597046
  0.20616024 0.20487057 0.19594763 0.16476689 0.35895191 0.36786986]]","2D array of the non-dimensional start point defined along the outer profile of a web. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each web, the second dimension represents each entry along blade span."
rotorse.re.precomp.web_end_nd,input,,"[[0.69445853 0.68705429 0.64852358 0.59481407 0.59124469 0.59656007
  0.59771822 0.60279558 0.61108141 0.61530721 0.61719344 0.61880392
  0.6208346  0.62409823 0.62831172 0.63246089 0.63643353 0.63903383
  0.64085578 0.64292298 0.64424092 0.64521151 0.64506029 0.64260635
  0.63907732 0.63507257 0.63061426 0.62696166 0.64593763 0.63918736]
 [0.69445853 0.68705429 0.64852358 0.66277183 0.65624104 0.66054108
  0.66068388 0.66599558 0.67462558 0.67989707 0.68402522 0.68905267
  0.69561116 0.70442369 0.71505935 0.72621723 0.73767642 0.74825165
  0.75829277 0.76845315 0.77735314 0.78528108 0.79113957 0.79334969
  0.79321163 0.79461715 0.80366753 0.83457068 0.64593763 0.63918736]]","2D array of the non-dimensional end point defined along the outer profile of a web. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each web, the second dimension represents each entry along blade span."
rotorse.re.precomp.layer_web,input,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 2. 2. 2.],"1D array of the web id the layer is associated to. If the layer is on the outer profile, this entry can simply stay equal to 0."
rotorse.re.precomp.layer_thickness,input,m,"[[0.0005     0.0005     0.0005     0.0005     0.0005     0.0005
  0.0005     0.0005     0.0005     0.0005     0.0005     0.0005
  0.0005     0.0005     0.0005     0.0005     0.0005     0.0005
  0.0005     0.0005     0.0005     0.0005     0.0005     0.0005
  0.0005     0.0005     0.0005     0.0005     0.0005     0.0005    ]
 [0.065      0.04800279 0.033292   0.01926887 0.01406293 0.00856717
  0.00422099 0.00311171 0.0020769  0.00134756 0.001293   0.00124203
  0.00117458 0.00110339 0.00103293 0.001      0.001      0.001
  0.001      0.001      0.00100013 0.00102217 0.00105827 0.00108623
  0.00106675 0.00103848 0.00100343 0.001      0.001      0.001     ]
 [0.         0.         0.         0.01096853 0.02133832 0.0317352
  0.04160593 0.04984494 0.05812354 0.06312958 0.05801117 0.05332646
  0.05059974 0.04984837 0.04911173 0.04759787 0.04486122 0.04234193
  0.03876062 0.03462629 0.03037354 0.02940123 0.02971785 0.0300295
  0.02239744 0.01278279 0.00312884 0.00204323 0.         0.        ]
 [0.         0.         0.         0.01096853 0.02133832 0.0317352
  0.04160593 0.04984494 0.05812354 0.06312958 0.05801117 0.05332646
  0.05059974 0.04984837 0.04911173 0.04759787 0.04486122 0.04234193
  0.03876062 0.03462629 0.03037354 0.02940123 0.02971785 0.0300295
  0.02239744 0.01278279 0.00312884 0.00204323 0.         0.        ]
 [0.         0.         0.         0.00311612 0.00326175 0.00340954
  0.00341952 0.00297175 0.00251423 0.00211766 0.00188941 0.00164872
  0.00146862 0.00136136 0.00124907 0.00123139 0.00132931 0.00142642
  0.00141937 0.00138493 0.00135162 0.00143893 0.00160424 0.00176964
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.0013626  0.00319121 0.0050594
  0.00653033 0.00689266 0.00722352 0.00741642 0.00715533 0.00690372
  0.00706912 0.00777988 0.00851129 0.00810552 0.00581414 0.00368146
  0.00257481 0.00189949 0.00119688 0.00115642 0.00142939 0.00168267
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.0013626  0.00319121 0.0050594
  0.00653033 0.00689266 0.00722352 0.00741642 0.00715533 0.00690372
  0.00706912 0.00777988 0.00851129 0.00810552 0.00581414 0.00368146
  0.00257481 0.00189949 0.00119688 0.00115642 0.00142939 0.00168267
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.01024138 0.02265517 0.03518589
  0.04597383 0.05161338 0.05717894 0.06089602 0.060103   0.05945452
  0.05655561 0.05030644 0.04404833 0.03950283 0.03686207 0.03416591
  0.03052019 0.02638204 0.02222507 0.01903714 0.01631034 0.01355172
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.00534483 0.0087931  0.01234651
  0.01452804 0.01334036 0.01196193 0.01076239 0.01010361 0.00941379
  0.00872414 0.0080351  0.00732927 0.007      0.007      0.007
  0.007      0.007      0.007      0.007      0.007      0.007
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.00141379 0.00555172 0.00979972
  0.01271893 0.01217018 0.01148276 0.0107931  0.01010345 0.00936314
  0.00900091 0.009      0.009      0.009      0.009      0.009
  0.00858843 0.00789876 0.00719013 0.007      0.007      0.007
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.00996552 0.01962069 0.02925226
  0.03937526 0.05107259 0.06288747 0.07027217 0.06472097 0.06000157
  0.0534306  0.04444856 0.03539108 0.02910539 0.02582759 0.02237931
  0.01893103 0.01548763 0.0120026  0.0099993  0.00865517 0.00727586
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.00050682 0.00057629 0.00064959
  0.0007402  0.00091676 0.00108996 0.00123184 0.00129    0.00135323
  0.00142734 0.00152797 0.0016233  0.00171946 0.00181224 0.00191906
  0.00194001 0.00194    0.00193838 0.0018043  0.00159258 0.00138802
  0.00115196 0.00091126 0.00066909 0.00063733 0.         0.        ]
 [0.         0.         0.         0.04265517 0.0392069  0.03572249
  0.0327637  0.03134684 0.02996552 0.02858621 0.0272069  0.02584756
  0.02417481 0.02210125 0.02000622 0.02       0.02       0.02
  0.02       0.02       0.02       0.02       0.02       0.02
  0.02       0.02       0.02       0.02       0.         0.        ]
 [0.         0.         0.         0.00050682 0.00057629 0.00064959
  0.0007402  0.00091676 0.00108996 0.00123184 0.00129    0.00135323
  0.00142734 0.00152797 0.0016233  0.00171946 0.00181224 0.00191906
  0.00194001 0.00194    0.00193838 0.0018043  0.00159258 0.00138802
  0.00115196 0.00091126 0.00066909 0.00063733 0.         0.        ]
 [0.         0.         0.         0.00050682 0.00057629 0.00064959
  0.0007402  0.00091676 0.00108996 0.00123184 0.00129    0.00135323
  0.00142734 0.00152797 0.0016233  0.00171946 0.00181224 0.00191906
  0.00194001 0.00194    0.00193838 0.0018043  0.00159258 0.00138802
  0.00115196 0.00091126 0.00066909 0.00063733 0.         0.        ]
 [0.         0.         0.         0.04865517 0.0452069  0.04173738
  0.03861064 0.03651899 0.03444828 0.03237931 0.03031034 0.02826277
  0.02589871 0.0231378  0.02031384 0.02       0.02       0.02
  0.02       0.02       0.02       0.02       0.02       0.02
  0.02       0.02       0.02       0.02       0.         0.        ]
 [0.         0.         0.         0.00050682 0.00057629 0.00064959
  0.0007402  0.00091676 0.00108996 0.00123184 0.00129    0.00135323
  0.00142734 0.00152797 0.0016233  0.00171946 0.00181224 0.00191906
  0.00194001 0.00194    0.00193838 0.0018043  0.00159258 0.00138802
  0.00115196 0.00091126 0.00066909 0.00063733 0.         0.        ]]","2D array of the thickness of the layers of the blade structure. The first dimension represents each layer, the second dimension represents each entry along blade span."
rotorse.re.precomp.layer_start_nd,input,,"[[0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.19445041 0.20130844 0.2265798  0.21195146 0.24423949 0.26240308
  0.27591132 0.28350144 0.29249689 0.29719846 0.29752394 0.29539555
  0.29050148 0.28241674 0.27207336 0.26081831 0.24869462 0.23679379
  0.22500023 0.21297439 0.20257907 0.19328873 0.18623631 0.18316605
  0.18277615 0.18066736 0.16993384 0.13438825 0.35895191 0.36786986]
 [0.69445853 0.68705429 0.64852358 0.58482113 0.58118666 0.58667843
  0.58797072 0.59281514 0.60077418 0.60468487 0.6061418  0.60720639
  0.6085447  0.61091051 0.61402451 0.61696706 0.61968672 0.620981
  0.62147774 0.62223368 0.62231315 0.62214075 0.621004   0.61779227
  0.61371905 0.60885597 0.602248   0.59304387 0.64593763 0.63918736]
 [0.49999717 0.4963172  0.47431932 0.41991694 0.4244917  0.43073989
  0.43459367 0.44232803 0.45466994 0.45953848 0.45811215 0.45655127
  0.45460498 0.45199297 0.44859036 0.4442757  0.43870961 0.43219529
  0.42535137 0.41889375 0.41313528 0.40772906 0.4028166  0.39876593
  0.49788571 0.49731282 0.49709892 0.49709891 0.49709891 0.49709891]
 [1.         1.         1.         0.95557515 0.95715061 0.95783499
  0.95849669 0.95820407 0.9578399  0.95707222 0.95553582 0.95325639
  0.95027812 0.94661225 0.94234097 0.93767601 0.93270312 0.92742367
  0.92201525 0.91670185 0.91170666 0.90711977 0.90315323 0.90005551
  1.         1.         1.         1.         1.         1.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.04442485 0.04284939 0.04216501
  0.04150331 0.04179593 0.0421601  0.04292778 0.04446418 0.04674361
  0.04972188 0.05338775 0.05765903 0.06232399 0.06729688 0.07257633
  0.07798475 0.08329815 0.08829334 0.09288023 0.09684677 0.09994449
  0.         0.         0.         0.         0.         0.        ]
 [0.19445041 0.20130844 0.2265798  0.30080117 0.32993827 0.3467331
  0.35891794 0.36709331 0.3768171  0.38305401 0.3864523  0.38888276
  0.38994524 0.38919224 0.38739142 0.38546629 0.38328839 0.38194645
  0.38096972 0.3795707  0.37916575 0.3790492  0.37992984 0.38305503
  0.38720305 0.39228466 0.39939663 0.40941263 0.35895191 0.36786986]
 [0.49999717 0.4963172  0.47431932 0.50876665 0.51019048 0.51506991
  0.51760029 0.5259199  0.53899015 0.54539403 0.54704051 0.55003848
  0.55404875 0.55876848 0.56390842 0.56892369 0.57330337 0.57734795
  0.58132087 0.58549006 0.58972196 0.59348953 0.59651013 0.59865492
  0.49788571 0.49731282 0.49709892 0.49709891 0.49709891 0.49709891]
 [0.69445853 0.68705429 0.64852358 0.67367084 0.66688544 0.67100846
  0.67097734 0.676407   0.68509439 0.69054042 0.69507016 0.7006936
  0.70798847 0.71768602 0.72934257 0.74161505 0.75428049 0.76613366
  0.77744724 0.78882999 0.79889983 0.80790122 0.81469753 0.81768125
  0.81814595 0.82047328 0.83171079 0.86806825 0.64593763 0.63918736]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]]","2D array of the non-dimensional start point defined along the outer profile of a layer. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each layer, the second dimension represents each entry along blade span."
