variables,units,values,description
tcons.ref_axis_blade,m,"[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 3.47038875e-02  0.00000000e+00  4.03448276e+00]
 [ 8.35457789e-02  0.00000000e+00  8.06896552e+00]
 [ 1.39221829e-01  0.00000000e+00  1.21034483e+01]
 [ 1.91620281e-01  0.00000000e+00  1.61379310e+01]
 [ 2.32058151e-01  0.00000000e+00  2.01724138e+01]
 [ 2.49748715e-01  0.00000000e+00  2.42068966e+01]
 [ 2.49576780e-01  0.00000000e+00  2.82413793e+01]
 [ 2.46161255e-01  0.00000000e+00  3.22758621e+01]
 [ 2.40468154e-01  0.00000000e+00  3.63103448e+01]
 [ 2.32897670e-01  0.00000000e+00  4.03448276e+01]
 [ 2.17967148e-01  0.00000000e+00  4.43793103e+01]
 [ 1.78171719e-01  0.00000000e+00  4.84137931e+01]
 [ 1.00328504e-01  0.00000000e+00  5.24482759e+01]
 [ 3.33661701e-04  0.00000000e+00  5.64827586e+01]
 [-1.11956965e-01  0.00000000e+00  6.05172414e+01]
 [-2.43745733e-01  0.00000000e+00  6.45517241e+01]
 [-4.15231916e-01  0.00000000e+00  6.85862069e+01]
 [-6.20301885e-01  0.00000000e+00  7.26206897e+01]
 [-8.46162280e-01  0.00000000e+00  7.66551724e+01]
 [-1.08028322e+00  0.00000000e+00  8.06896552e+01]
 [-1.32984337e+00  0.00000000e+00  8.47241379e+01]
 [-1.60241994e+00  0.00000000e+00  8.87586207e+01]
 [-1.89518421e+00  0.00000000e+00  9.27931034e+01]
 [-2.20216882e+00  0.00000000e+00  9.68275862e+01]
 [-2.52321796e+00  0.00000000e+00  1.00862069e+02]
 [-2.86378033e+00  0.00000000e+00  1.04896552e+02]
 [-3.22419386e+00  0.00000000e+00  1.08931034e+02]
 [-3.60472885e+00  0.00000000e+00  1.12965517e+02]
 [-4.00000000e+00  0.00000000e+00  1.17000000e+02]]",
tcons.precone,deg,[4.],
tcons.tilt,deg,[6.],
tcons.overhang,m,[12.0313],
tcons.ref_axis_tower,m,"[[  0.      0.     15.   ]
 [  0.      0.     15.01 ]
 [  0.      0.     28.   ]
 [  0.      0.     28.01 ]
 [  0.      0.     41.   ]
 [  0.      0.     41.01 ]
 [  0.      0.     54.   ]
 [  0.      0.     54.01 ]
 [  0.      0.     67.   ]
 [  0.      0.     67.01 ]
 [  0.      0.     80.   ]
 [  0.      0.     80.01 ]
 [  0.      0.     93.   ]
 [  0.      0.     93.01 ]
 [  0.      0.    106.   ]
 [  0.      0.    106.01 ]
 [  0.      0.    119.   ]
 [  0.      0.    119.01 ]
 [  0.      0.    132.   ]
 [  0.      0.    132.01 ]
 [  0.      0.    144.386]]",
tcons.d_full,m,"[10.    10.    10.    10.     9.926  9.926  9.443  9.443  8.833  8.833
  8.151  8.151  7.39   7.39   6.909  6.909  6.748  6.748  6.572  6.572
  6.5  ]",
tcons.max_allowable_td_ratio,,[1.4175],
tcons.rotor_orientation,Unavailable,upwind,
tcc.blade_mass,kg,[73310.09858739],
tcc.blade_mass_cost_coeff,USD/kg,[14.6],
tcc.blade_cost_external,USD,[944865.68288893],
tcc.hub_mass,kg,[25308.08459897],
tcc.hub_mass_cost_coeff,USD/kg,[3.9],
tcc.pitch_system_mass,kg,[50800.02885742],
tcc.pitch_system_mass_cost_coeff,USD/kg,[22.1],
tcc.spinner_mass,kg,[1551.8995587],
tcc.spinner_mass_cost_coeff,USD/kg,[11.1],
tcc.hub_cost,USD,[98701.529936],
tcc.pitch_system_cost,USD,[1122680.63774891],
tcc.spinner_cost,USD,[17226.08510159],
tcc.hub_assemblyCostMultiplier,,[0.],
tcc.hub_overheadCostMultiplier,,[0.],
tcc.hub_profitMultiplier,,[0.],
tcc.hub_transportMultiplier,,[0.],
tcc.blade_cost,USD,[944865.68288893],
tcc.hub_system_cost,USD,[1238608.2527865],
tcc.hub_system_mass_tcc,kg,[77660.01301509],
tcc.blade_number,Unavailable,3,
tcc.lss_mass,kg,[21455.50702769],
tcc.lss_mass_cost_coeff,USD/kg,[11.9],
tcc.main_bearing_mass,kg,[30785.64283173],
tcc.bearing_mass_cost_coeff,USD/kg,[4.5],
tcc.gearbox_mass,kg,[0.],
tcc.gearbox_mass_cost_coeff,USD/kg,[12.9],
tcc.hss_mass,kg,[0.],
tcc.hss_mass_cost_coeff,USD/kg,[6.8],
tcc.brake_mass,kg,[23898.57409286],
tcc.brake_mass_cost_coeff,USD/kg,[3.6254],
tcc.generator_mass,kg,[368839.40715181],
tcc.generator_mass_cost_coeff,USD/kg,[12.4],
tcc.generator_cost_external,USD,[2388592.52485842],
tcc.bedplate_mass,kg,[48338.89555328],
tcc.bedplate_mass_cost_coeff,USD/kg,[2.9],
tcc.yaw_mass,kg,[28279.92605502],
tcc.yaw_mass_cost_coeff,USD/kg,[8.3],
tcc.hvac_mass,kg,[30020.09992323],
tcc.hvac_mass_cost_coeff,USD/kg,[124.],
tcc.machine_rating,kW,[15000.],
tcc.controls_machine_rating_cost_coeff,USD/kW,[21.15],
tcc.converter_mass,kg,[11983.85],
tcc.converter_mass_cost_coeff,USD/kg,[18.8],
tcc.elec_connec_machine_rating_cost_coeff,USD/kW,[41.85],
tcc.cover_mass,kg,[20157.71670646],
tcc.cover_mass_cost_coeff,USD/kg,[5.7],
tcc.platforms_mass,kg,[60840.],
tcc.platforms_mass_cost_coeff,USD/kg,[17.1],
tcc.crane_cost,USD,[12000.],
tcc.crane,Unavailable,FALSE,
tcc.transformer_mass,kg,[30635.],
tcc.transformer_mass_cost_coeff,USD/kg,[18.8],
tcc.lss_cost,USD,[255320.53362953],
tcc.main_bearing_cost,USD,[138535.39274281],
tcc.gearbox_cost,USD,[0.],
tcc.hss_cost,USD,[0.],
tcc.brake_cost,USD,[86641.89051624],
tcc.generator_cost,USD,[2388592.52485842],
tcc.bedplate_cost,USD,[140182.79710452],
tcc.yaw_system_cost,USD,[234723.38625664],
tcc.converter_cost,USD,[225296.38],
tcc.hvac_cost,USD,[3722492.39048077],
tcc.cover_cost,USD,[114898.98522682],
tcc.elec_cost,USD,[627750.],
tcc.controls_cost,USD,[317250.],
tcc.platforms_cost,USD,[1040364.],
tcc.transformer_cost,USD,[575938.],
tcc.nacelle_assemblyCostMultiplier,,[0.],
tcc.nacelle_overheadCostMultiplier,,[0.],
tcc.nacelle_profitMultiplier,,[0.],
tcc.nacelle_transportMultiplier,,[0.],
tcc.main_bearing_number,Unavailable,2,
tcc.tower_mass,kg,[2163440.99352003],
tcc.tower_mass_cost_coeff,USD/kg,[2.9],
tcc.tower_cost_external,USD,[5657064.12587821],
tcc.tower_parts_cost,USD,[5657064.12587821],
tcc.tower_assemblyCostMultiplier,,[0.],
tcc.tower_overheadCostMultiplier,,[0.],
tcc.tower_profitMultiplier,,[0.],
tcc.tower_transportMultiplier,,[0.],
tcc.rotor_cost,USD,[4073205.30145328],
tcc.rotor_mass_tcc,kg,[297590.30877727],
tcc.nacelle_cost,USD,[10006521.67355855],
tcc.nacelle_mass_tcc,kg,[706020.26217382],
tcc.tower_cost,USD,[5657064.12587821],
tcc.turbine_assemblyCostMultiplier,,[0.],
tcc.turbine_overheadCostMultiplier,,[0.],
tcc.turbine_profitMultiplier,,[0.],
tcc.turbine_transportMultiplier,,[0.],
tcc.turbine_cost,USD,[19736791.10089004],
tcc.turbine_cost_kW,USD/kW,[1315.78607339],
tcc.turbine_mass_tcc,kg,[3167051.56447112],
orbit.site_depth,m,[30.],Site depth.
orbit.site_distance,km,[115.],Distance from site to installation port.
orbit.site_distance_to_landfall,km,[50.],Distance from site to landfall for export cable.
orbit.interconnection_distance,km,[8.5],Distance from landfall to interconnection.
orbit.site_mean_windspeed,m/s,[10.],Mean windspeed of the site.
orbit.plant_turbine_spacing,,[7.],Turbine spacing in rotor diameters.
orbit.plant_row_spacing,,[7.],Row spacing in rotor diameters. Not used in ring layouts.
orbit.plant_substation_distance,km,[1.],Distance from first turbine in string to substation.
orbit.turbine_rating,MW,[15.],Rated capacity of a turbine.
orbit.turbine_rated_windspeed,m/s,[10.6342072],Rated windspeed of the turbine.
orbit.turbine_capex,USD/kW,[1315.78607339],Turbine CAPEX
orbit.hub_height,m,[150.],Turbine hub height.
orbit.turbine_rotor_diameter,m,[242.23775645],Turbine rotor diameter.
orbit.tower_mass,t,[853.4933526],mass of the total tower.
orbit.tower_length,m,[100.],Total length of the tower.
orbit.tower_deck_space,m**2,[0.],Deck space required to transport the tower. Defaults to 0 in order to not be a constraint on installation.
orbit.nacelle_mass,t,[706.02026217],mass of the rotor nacelle assembly (RNA).
orbit.nacelle_deck_space,m**2,[0.],Deck space required to transport the rotor nacelle assembly (RNA). Defaults to 0 in order to not be a constraint on installation.
orbit.blade_mass,t,[73.31009859],mass of an individual blade.
orbit.blade_deck_space,m**2,[0.],Deck space required to transport a blade. Defaults to 0 in order to not be a constraint on installation.
orbit.mooring_line_mass,kg,[10000.],Total mass of a mooring line
orbit.mooring_line_diameter,m,[0.1],Cross-sectional diameter of a mooring line
orbit.mooring_line_length,m,[1000.],Unstretched mooring line length
orbit.anchor_mass,kg,[10000.],Total mass of an anchor
orbit.port_cost_per_month,USD/mo,[2000000.],Monthly port costs.
orbit.takt_time,h,[170.],Substructure assembly cycle time when doing assembly at the port.
orbit.monopile_length,m,[90.],Length of monopile.
orbit.monopile_diameter,m,[10.],Diameter of monopile.
orbit.monopile_mass,t,[1309.94764092],mass of an individual monopile.
orbit.monopile_deck_space,m**2,[0.],Deck space required to transport a monopile. Defaults to 0 in order to not be a constraint on installation.
orbit.transition_piece_mass,t,[100.],mass of an individual transition piece.
orbit.transition_piece_deck_space,m**2,[0.],Deck space required to transport a transition piece. Defaults to 0 in order to not be a constraint on installation.
orbit.site_auction_price,USD,[1.e+08],Cost to secure site lease
orbit.site_assessment_plan_cost,USD,[1000000.],Cost to do engineering plan for site assessment
orbit.site_assessment_cost,USD,[25000000.],Cost to execute site assessment
orbit.construction_operations_plan_cost,USD,[2500000.],Cost to do construction planning
orbit.boem_review_cost,USD,[0.],Cost for additional review by U.S. Dept of Interior Bureau of Ocean Energy Management (BOEM)
orbit.design_install_plan_cost,USD,[2500000.],Cost to do installation planning
orbit.commissioning_pct,,[0.01],Commissioning percent.
orbit.decommissioning_pct,,[0.15],Decommissioning percent.
orbit.wtiv,Unavailable,example_wtiv,Vessel configuration to use for installation of foundations and turbines.
orbit.feeder,Unavailable,future_feeder,Vessel configuration to use for (optional) feeder barges.
orbit.num_feeders,Unavailable,1,Number of feeder barges to use for installation of foundations and turbines.
orbit.num_towing,Unavailable,1,Number of towing vessels to use for floating platforms that are assembled at port (with or without the turbine).
orbit.num_station_keeping,Unavailable,3,Number of station keeping vessels that attach to floating platforms under tow-out.
orbit.oss_install_vessel,Unavailable,example_heavy_lift_vessel,Vessel configuration to use for installation of offshore substations.
orbit.number_of_turbines,Unavailable,40,Number of turbines.
orbit.number_of_blades,Unavailable,3,Number of blades per turbine.
orbit.num_mooring_lines,Unavailable,3,Number of mooring lines per platform.
orbit.anchor_type,Unavailable,drag_embedment,Number of mooring lines per platform.
orbit.num_assembly_lines,Unavailable,1,Number of assembly lines used when assembly occurs at the port.
orbit.num_port_cranes,Unavailable,1,Number of cranes used at the port to load feeders / WTIVS when assembly occurs on-site or assembly cranes when assembling at port.
financese.machine_rating,kW,[15000.],
financese.tcc_per_kW,USD/kW,[1315.78607339],
financese.offset_tcc_per_kW,USD/kW,[0.],
financese.bos_per_kW,USD/kW,[1577.86460499],
financese.opex_per_kW,USD/kW/yr,[137.],
financese.plant_aep_in,kW*h,[0.],
financese.turbine_aep,kW*h,[78049307.04197761],
financese.wake_loss_factor,,[0.15],
financese.fixed_charge_rate,,[0.056],
financese.turbine_number,Unavailable,40,
outputs_2_screen.aep,GW * h,[78.04930704],
outputs_2_screen.blade_mass,kg,[73310.09858739],
outputs_2_screen.lcoe,USD/MW/h,[67.61437081],
outputs_2_screen.My_std,N*m,[0.],
outputs_2_screen.flp1_std,deg,[0.],
outputs_2_screen.PC_omega,rad/s,[0.],
outputs_2_screen.PC_zeta,,[0.],
outputs_2_screen.VS_omega,rad/s,[0.],
outputs_2_screen.VS_zeta,,[0.],
outputs_2_screen.Flp_omega,rad/s,[0.],
outputs_2_screen.Flp_zeta,,[0.],
outputs_2_screen.tip_deflection,m,[22.7002325],
materials.E,Pa,"[[3.440e+09 3.440e+09 3.440e+09]
 [2.000e+11 2.000e+11 2.000e+11]
 [2.050e+11 2.050e+11 2.050e+11]
 [1.180e+11 1.180e+11 1.180e+11]
 [4.460e+10 1.700e+10 1.670e+10]
 [1.145e+11 8.390e+09 8.390e+09]
 [1.110e+10 1.110e+10 1.670e+10]
 [2.870e+10 1.660e+10 1.670e+10]
 [1.292e+08 1.292e+08 1.292e+08]
 [1.000e+06 1.000e+06 1.000e+06]]","2D array of the Youngs moduli of the materials. Each row represents a material, the three columns represent E11, E22 and E33."
materials.G,Pa,"[[1.32300000e+09 1.32300000e+09 1.32300000e+09]
 [7.93000000e+10 7.93000000e+10 7.93000000e+10]
 [8.00000000e+10 8.00000000e+10 8.00000000e+10]
 [4.76000000e+10 4.76000000e+10 4.76000000e+10]
 [3.27000000e+09 3.48000000e+09 3.50000000e+09]
 [5.99000000e+09 5.99000000e+09 5.99000000e+09]
 [1.35300000e+10 3.49000000e+09 3.49000000e+09]
 [8.40000000e+09 3.49000000e+09 3.49000000e+09]
 [4.89469697e+07 4.89469697e+07 4.89469697e+07]
 [3.12500000e+05 3.12500000e+05 3.12500000e+05]]","2D array of the shear moduli of the materials. Each row represents a material, the three columns represent G12, G13 and G23."
materials.nu,,"[[0.3   0.3   0.3  ]
 [0.3   0.3   0.3  ]
 [0.3   0.3   0.3  ]
 [0.3   0.3   0.3  ]
 [0.262 0.35  0.264]
 [0.27  0.27  0.27 ]
 [0.5   0.    0.066]
 [0.5   0.    0.17 ]
 [0.32  0.32  0.32 ]
 [0.3   0.3   0.3  ]]","2D array of the Poisson ratio of the materials. Each row represents a material, the three columns represent nu12, nu13 and nu23."
materials.Xt,Pa,"[[7.400e+01 7.400e+01 7.400e+01]
 [4.500e+08 4.500e+08 4.500e+08]
 [8.140e+08 8.140e+08 8.140e+08]
 [3.100e+08 3.100e+08 3.100e+08]
 [6.092e+08 3.810e+07 1.529e+07]
 [1.546e+09 0.000e+00 0.000e+00]
 [4.290e+07 4.260e+07 1.530e+07]
 [3.960e+08 7.640e+07 1.530e+07]
 [2.083e+06 2.083e+06 2.083e+06]
 [0.000e+00 0.000e+00 0.000e+00]]","2D array of the Ultimate Tensile Strength (UTS) of the materials. Each row represents a material, the three columns represent Xt12, Xt13 and Xt23."
materials.Xc,Pa,"[[8.7000e+01 8.7000e+01 8.7000e+01]
 [4.5000e+08 4.5000e+08 4.5000e+08]
 [8.1400e+08 8.1400e+08 8.1400e+08]
 [3.1000e+08 3.1000e+08 3.1000e+08]
 [4.7471e+08 1.1264e+08 1.1322e+08]
 [1.0470e+09 0.0000e+00 0.0000e+00]
 [7.0700e+07 7.0700e+07 1.1320e+08]
 [4.4890e+08 1.7470e+08 1.1320e+08]
 [1.5630e+06 1.5630e+06 1.5630e+06]
 [0.0000e+00 0.0000e+00 0.0000e+00]]","2D array of the Ultimate Compressive Strength (UCS) of the materials. Each row represents a material, the three columns represent Xc12, Xc13 and Xc23."
materials.sigma_y,Pa,"[0.00e+00 3.45e+08 4.85e+08 2.65e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00
 0.00e+00 0.00e+00]",Yield stress of the material (in the principle direction for composites).
materials.unit_cost,USD/kg,[ 7.23  0.7   0.9   0.5   1.87 30.    3.    2.86 13.    3.63],1D array of the unit costs of the materials.
materials.waste,,[0.25 0.   0.   0.   0.05 0.05 0.15 0.15 0.2  0.  ],1D array of the non-dimensional waste fraction of the materials.
materials.roll_mass,kg,"[  0.       0.       0.       0.       0.       0.     181.4368 181.4368
   0.       0.    ]",1D array of the roll mass of the composite fabrics. Non-composite materials are kept at 0.
materials.orth,Unavailable,[0. 0. 0. 0. 1. 1. 1. 1. 0. 0.],1D array of flags to set whether a material is isotropic (0) or orthtropic (1). Each entry represents a material.
materials.ply_t,m,"[0.0005     0.         0.         0.         0.005      0.00103175
 0.001      0.001      0.         0.        ]",1D array of the ply thicknesses of the materials. Non-composite materials are kept at 0.
materials.fvf,,"[0.         0.         0.         0.         0.57       0.53846154
 0.57       0.57       0.         0.        ]",1D array of the non-dimensional fiber volume fraction of the composite materials. Non-composite materials are kept at 0.
materials.fwf,,"[0.         0.         0.         0.         0.74506827 0.64615385
 0.74506827 0.74506827 0.         0.        ]",1D array of the non-dimensional fiber weight- fraction of the composite materials. Non-composite materials are kept at 0.
airfoils.ac,,[0.5   0.316 0.25  0.25  0.25  0.25  0.25  0.25 ],1D array of the aerodynamic centers of each airfoil.
airfoils.r_thick,,[1.    0.5   0.211 0.241 0.27  0.301 0.33  0.36 ],1D array of the relative thicknesses of each airfoil.
airfoils.aoa,rad,"[-3.14159265 -3.08923278 -3.0368729  -2.98451302 -2.93215314 -2.87979327
 -2.82743339 -2.77507351 -2.72271363 -2.67035376 -2.61799388 -2.565634
 -2.51327412 -2.46091425 -2.40855437 -2.35619449 -2.30383461 -2.25147474
 -2.19911486 -2.14675498 -2.0943951  -2.04203522 -1.98967535 -1.93731547
 -1.88495559 -1.83259571 -1.78023584 -1.72787596 -1.67551608 -1.6231562
 -1.57079633 -1.51843645 -1.46607657 -1.41371669 -1.36135682 -1.30899694
 -1.25663706 -1.20427718 -1.15191731 -1.09955743 -1.04719755 -0.99483767
 -0.9424778  -0.89011792 -0.83775804 -0.78539816 -0.73303829 -0.68067841
 -0.62831853 -0.57595865 -0.52359878 -0.51302102 -0.50244327 -0.49186552
 -0.48128776 -0.47071001 -0.46013226 -0.4495545  -0.43897675 -0.428399
 -0.41782125 -0.40724349 -0.39666574 -0.38608799 -0.37551023 -0.36493248
 -0.35435473 -0.34377697 -0.33319922 -0.32262147 -0.31204371 -0.30146596
 -0.29088821 -0.28031046 -0.2697327  -0.25915495 -0.2485772  -0.23799944
 -0.22742169 -0.21684394 -0.20626618 -0.19568843 -0.18511068 -0.17453293
 -0.16395517 -0.15337742 -0.14279967 -0.13222191 -0.12164416 -0.11106641
 -0.10048865 -0.0899109  -0.07933315 -0.06875539 -0.05817764 -0.04759989
 -0.03702214 -0.02644438 -0.01586663 -0.00528888  0.00528888  0.01586663
  0.02644438  0.03702214  0.04759989  0.05817764  0.06875539  0.07933315
  0.0899109   0.10048865  0.11106641  0.12164416  0.13222191  0.14279967
  0.15337742  0.16395517  0.17453293  0.18511068  0.19568843  0.20626618
  0.21684394  0.22742169  0.23799944  0.2485772   0.25915495  0.2697327
  0.28031046  0.29088821  0.30146596  0.31204371  0.32262147  0.33319922
  0.34377697  0.35435473  0.36493248  0.37551023  0.38608799  0.39666574
  0.40724349  0.41782125  0.428399    0.43897675  0.4495545   0.46013226
  0.47071001  0.48128776  0.49186552  0.50244327  0.51302102  0.52359878
  0.57595865  0.62831853  0.68067841  0.73303829  0.78539816  0.83775804
  0.89011792  0.9424778   0.99483767  1.04719755  1.09955743  1.15191731
  1.20427718  1.25663706  1.30899694  1.36135682  1.41371669  1.46607657
  1.51843645  1.57079633  1.6231562   1.67551608  1.72787596  1.78023584
  1.83259571  1.88495559  1.93731547  1.98967535  2.04203522  2.0943951
  2.14675498  2.19911486  2.25147474  2.30383461  2.35619449  2.40855437
  2.46091425  2.51327412  2.565634    2.61799388  2.67035376  2.72271363
  2.77507351  2.82743339  2.87979327  2.93215314  2.98451302  3.0368729
  3.08923278  3.14159265]",1D array of the angles of attack used to define the polars of the airfoils. All airfoils defined in openmdao share this grid.
airfoils.Re,,[ 3000000.  8100000. 10000000.],1D array of the Reynolds numbers used to define the polars of the airfoils. All airfoils defined in openmdao share this grid.
airfoils.cl,,"[[[[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  ...

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]]


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 1.31516249e-01]
   [ 1.31516249e-01]
   [ 1.31516249e-01]]

  [[ 2.64538152e-01]
   [ 2.64538152e-01]
   [ 2.64538152e-01]]

  ...

  [[-2.64478288e-01]
   [-2.64478288e-01]
   [-2.64478288e-01]]

  [[-1.31486487e-01]
   [-1.31486487e-01]
   [-1.31486487e-01]]

  [[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]]


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 7.09078783e-02]
   [ 7.09078783e-02]
   [ 7.09078783e-02]]

  [[ 1.41815756e-01]
   [ 1.41815756e-01]
   [ 1.41815756e-01]]

  ...

  [[-1.41815756e-01]
   [-1.41815756e-01]
   [-1.41815756e-01]]

  [[-7.09078783e-02]
   [-7.09078783e-02]
   [-7.09078783e-02]]

  [[ 4.85722573e-18]
   [ 4.85722573e-18]
   [ 4.85722573e-18]]]


 ...


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 8.54201253e-02]
   [ 8.54201253e-02]
   [ 8.54201253e-02]]

  [[ 1.70840249e-01]
   [ 1.70840249e-01]
   [ 1.70840249e-01]]

  ...

  [[-1.70840249e-01]
   [-1.70840249e-01]
   [-1.70840249e-01]]

  [[-8.54201253e-02]
   [-8.54201253e-02]
   [-8.54201253e-02]]

  [[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]]


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 9.13519690e-02]
   [ 9.13519690e-02]
   [ 9.13519690e-02]]

  [[ 1.82703937e-01]
   [ 1.82703937e-01]
   [ 1.82703937e-01]]

  ...

  [[-1.82703937e-01]
   [-1.82703937e-01]
   [-1.82703937e-01]]

  [[-9.13519690e-02]
   [-9.13519690e-02]
   [-9.13519690e-02]]

  [[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]]


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 9.42132190e-02]
   [ 9.42132190e-02]
   [ 9.42132190e-02]]

  [[ 1.88426437e-01]
   [ 1.88426437e-01]
   [ 1.88426437e-01]]

  ...

  [[-1.88426437e-01]
   [-1.88426437e-01]
   [-1.88426437e-01]]

  [[-9.42132190e-02]
   [-9.42132190e-02]
   [-9.42132190e-02]]

  [[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]]]","4D array with the lift coefficients of the airfoils. Dimension 0 is along the different airfoils defined in the yaml, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
airfoils.cd,,"[[[[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  ...

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]]


 [[[0.0844    ]
   [0.0844    ]
   [0.0844    ]]

  [[0.0844    ]
   [0.0844    ]
   [0.0844    ]]

  [[0.0844    ]
   [0.0844    ]
   [0.0844    ]]

  ...

  [[0.0844    ]
   [0.0844    ]
   [0.0844    ]]

  [[0.0844    ]
   [0.0844    ]
   [0.0844    ]]

  [[0.0844    ]
   [0.0844    ]
   [0.0844    ]]]


 [[[0.02464146]
   [0.02464146]
   [0.02464146]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  ...

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02464146]
   [0.02464146]
   [0.02464146]]]


 ...


 [[[0.02453989]
   [0.02453989]
   [0.02453989]]

  [[0.02570383]
   [0.02570383]
   [0.02570383]]

  [[0.02880856]
   [0.02880856]
   [0.02880856]]

  ...

  [[0.02880856]
   [0.02880856]
   [0.02880856]]

  [[0.02570383]
   [0.02570383]
   [0.02570383]]

  [[0.02453989]
   [0.02453989]
   [0.02453989]]]


 [[[0.03168572]
   [0.03168572]
   [0.03168572]]

  [[0.03283864]
   [0.03283864]
   [0.03283864]]

  [[0.03591391]
   [0.03591391]
   [0.03591391]]

  ...

  [[0.03591391]
   [0.03591391]
   [0.03591391]]

  [[0.03283864]
   [0.03283864]
   [0.03283864]]

  [[0.03168572]
   [0.03168572]
   [0.03168572]]]


 [[[0.03714767]
   [0.03714767]
   [0.03714767]]

  [[0.03829218]
   [0.03829218]
   [0.03829218]]

  [[0.04134493]
   [0.04134493]
   [0.04134493]]

  ...

  [[0.04134493]
   [0.04134493]
   [0.04134493]]

  [[0.03829218]
   [0.03829218]
   [0.03829218]]

  [[0.03714767]
   [0.03714767]
   [0.03714767]]]]","4D array with the drag coefficients of the airfoils. Dimension 0 is along the different airfoils defined in the yaml, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
